set_id,error_type,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
wl_model_agreement,hand_error,1800,1009,0.5605555555555556,281,4,0.014234875444839857,0.003964321110009911,0.6616194865042792,0.025394227750953163
wl_model_agreement,within_hand_finger_error,1800,1009,0.5605555555555556,111,91,0.8198198198198198,0.09018830525272548,0.5435168738898757,1.462513058152305
wl_strict_obvious,exact_error,1800,1239,0.6883333333333334,392,109,0.2780612244897959,0.08797417271993543,0.8025568181818182,0.40396303799970357
wl_strict_obvious,hand_error,1800,1239,0.6883333333333334,281,5,0.017793594306049824,0.004035512510088781,0.8123765635286373,0.025850258071743078
wl_strict_obvious,within_hand_finger_error,1800,1239,0.6883333333333334,111,104,0.9369369369369369,0.08393866020984665,0.6719952634695086,1.3611674628623782
hy_direct_plus_corroborated,exact_error,1800,139,0.07722222222222222,392,16,0.04081632653061224,0.11510791366906475,0.08735795454545454,0.5285567464395831
hy_direct_plus_corroborated,hand_error,1800,139,0.07722222222222222,281,0,0.0,0.0,0.09150757077024359,0.0
hy_direct_plus_corroborated,within_hand_finger_error,1800,139,0.07722222222222222,111,16,0.14414414414414414,0.11510791366906475,0.07282415630550622,1.8666148162551042
hy_two_of_three_families,exact_error,1800,169,0.09388888888888888,392,24,0.061224489795918366,0.14201183431952663,0.10298295454545454,0.6520951575896632
hy_two_of_three_families,hand_error,1800,169,0.09388888888888888,281,0,0.0,0.0,0.11125740618828177,0.0
hy_two_of_three_families,within_hand_finger_error,1800,169,0.09388888888888888,111,24,0.21621621621621623,0.14201183431952663,0.08584961515689757,2.302894610586918
hy_hierarchical,exact_error,1800,222,0.12333333333333334,392,23,0.058673469387755105,0.1036036036036036,0.14133522727272727,0.47573083287369
hy_hierarchical,hand_error,1800,222,0.12333333333333334,281,0,0.0,0.0,0.14614878209348256,0.0
hy_hierarchical,within_hand_finger_error,1800,222,0.12333333333333334,111,23,0.2072072072072072,0.1036036036036036,0.11782119597394908,1.6800584368151934
ni_k2_r1,exact_error,1800,71,0.03944444444444444,392,6,0.015306122448979591,0.08450704225352113,0.04616477272727273,0.38804254096004603
ni_k2_r1,hand_error,1800,71,0.03944444444444444,281,0,0.0,0.0,0.0467412771560237,0.0
ni_k2_r1,within_hand_finger_error,1800,71,0.03944444444444444,111,6,0.05405405405405406,0.08450704225352113,0.03848431024274719,1.3703844689760183
ni_k2_r2,exact_error,1800,128,0.07111111111111111,392,14,0.03571428571428571,0.109375,0.08096590909090909,0.5022321428571429
ni_k2_r2,hand_error,1800,128,0.07111111111111111,281,0,0.0,0.0,0.08426596445029624,0.0
ni_k2_r2,within_hand_finger_error,1800,128,0.07111111111111111,111,14,0.12612612612612611,0.109375,0.0674955595026643,1.7736486486486487
ni_k2_r4,exact_error,1800,224,0.12444444444444444,392,21,0.05357142857142857,0.09375,0.14417613636363635,0.43048469387755106
ni_k2_r4,hand_error,1800,224,0.12444444444444444,281,0,0.0,0.0,0.14746543778801843,0.0
ni_k2_r4,within_hand_finger_error,1800,224,0.12444444444444444,111,21,0.1891891891891892,0.09375,0.1201894612196566,1.5202702702702702
ni_k3_r1,exact_error,1800,17,0.009444444444444445,392,2,0.00510204081632653,0.11764705882352941,0.01065340909090909,0.5402160864345739
ni_k3_r1,hand_error,1800,17,0.009444444444444445,281,0,0.0,0.0,0.01119157340355497,0.0
ni_k3_r1,within_hand_finger_error,1800,17,0.009444444444444445,111,2,0.018018018018018018,0.11764705882352941,0.008880994671403197,1.9077901430842608
ni_k3_r2,exact_error,1800,33,0.018333333333333333,392,5,0.012755102040816327,0.15151515151515152,0.019886363636363636,0.6957328385899815
ni_k3_r2,hand_error,1800,33,0.018333333333333333,281,0,0.0,0.0,0.021724818959842,0.0
ni_k3_r2,within_hand_finger_error,1800,33,0.018333333333333333,111,5,0.04504504504504504,0.15151515151515152,0.016577856719952634,2.457002457002457
ni_k3_r4,exact_error,1800,64,0.035555555555555556,392,9,0.02295918367346939,0.140625,0.0390625,0.6457270408163266
ni_k3_r4,hand_error,1800,64,0.035555555555555556,281,0,0.0,0.0,0.04213298222514812,0.0
ni_k3_r4,within_hand_finger_error,1800,64,0.035555555555555556,111,9,0.08108108108108109,0.140625,0.03256364712847839,2.2804054054054053
ni_k5_r1,exact_error,1800,0,0.0,392,0,0.0,,0.0,
ni_k5_r1,hand_error,1800,0,0.0,281,0,0.0,,0.0,
ni_k5_r1,within_hand_finger_error,1800,0,0.0,111,0,0.0,,0.0,
ni_k5_r2,exact_error,1800,0,0.0,392,0,0.0,,0.0,
ni_k5_r2,hand_error,1800,0,0.0,281,0,0.0,,0.0,
ni_k5_r2,within_hand_finger_error,1800,0,0.0,111,0,0.0,,0.0,
ni_k5_r4,exact_error,1800,0,0.0,392,0,0.0,,0.0,
ni_k5_r4,hand_error,1800,0,0.0,281,0,0.0,,0.0,
ni_k5_r4,within_hand_finger_error,1800,0,0.0,111,0,0.0,,0.0,
ni_w5_q995,exact_error,1800,3,0.0016666666666666668,392,0,0.0,0.0,0.002130681818181818,0.0
