set_id,recording_id,eligible_notes,hard_count,hard_percentage,error_count,selected_errors,error_recall,precision,correct_sieve_rate,enrichment
bl_span_comfortable,2024-09-05_13-25-10,150,39,0.26,14,1,0.07142857142857142,0.02564102564102564,0.27941176470588236,0.2747252747252747
bl_span_relative,2024-02-15_20-07-54,150,43,0.2866666666666667,59,9,0.15254237288135594,0.20930232558139536,0.37362637362637363,0.5321245565628696
bl_span_relative,2024-02-15_21-40-43,150,37,0.24666666666666667,20,3,0.15,0.08108108108108109,0.26153846153846155,0.6081081081081081
bl_span_relative,2024-02-15_21-57-38,150,44,0.29333333333333333,47,4,0.0851063829787234,0.09090909090909091,0.3883495145631068,0.2901353965183752
bl_span_relative,2024-02-17_21-44-37,150,48,0.32,47,7,0.14893617021276595,0.14583333333333334,0.39805825242718446,0.4654255319148936
bl_span_relative,2024-02-17_22-33-45,300,105,0.35,82,9,0.10975609756097561,0.08571428571428572,0.44036697247706424,0.31358885017421606
bl_span_relative,2024-02-22_11-58-09,150,64,0.4266666666666667,13,4,0.3076923076923077,0.0625,0.43795620437956206,0.7211538461538461
bl_span_relative,2024-03-11_22-23-29,150,62,0.41333333333333333,21,5,0.23809523809523808,0.08064516129032258,0.4418604651162791,0.576036866359447
bl_span_relative,2024-04-08_22-49-18,150,58,0.38666666666666666,32,9,0.28125,0.15517241379310345,0.4152542372881356,0.7273706896551724
bl_span_relative,2024-09-02_14-10-41,150,41,0.2733333333333333,25,6,0.24,0.14634146341463414,0.28,0.8780487804878049
bl_span_relative,2024-09-04_19-52-57,150,78,0.52,32,3,0.09375,0.038461538461538464,0.635593220338983,0.18028846153846154
bl_span_relative,2024-09-05_13-25-10,150,44,0.29333333333333333,14,1,0.07142857142857142,0.022727272727272728,0.3161764705882353,0.2435064935064935
bl_crossing,2024-02-15_20-07-54,150,1,0.006666666666666667,59,0,0.0,0.0,0.01098901098901099,0.0
bl_crossing,2024-02-15_21-40-43,150,1,0.006666666666666667,20,0,0.0,0.0,0.007692307692307693,0.0
bl_crossing,2024-02-15_21-57-38,150,0,0.0,47,0,0.0,,0.0,
bl_crossing,2024-02-17_21-44-37,150,4,0.02666666666666667,47,2,0.0425531914893617,0.5,0.019417475728155338,1.5957446808510638
bl_crossing,2024-02-17_22-33-45,300,2,0.006666666666666667,82,2,0.024390243902439025,1.0,0.0,3.658536585365854
bl_crossing,2024-02-22_11-58-09,150,0,0.0,13,0,0.0,,0.0,
bl_crossing,2024-03-11_22-23-29,150,6,0.04,21,2,0.09523809523809523,0.3333333333333333,0.031007751937984496,2.3809523809523805
bl_crossing,2024-04-08_22-49-18,150,2,0.013333333333333334,32,1,0.03125,0.5,0.00847457627118644,2.34375
bl_crossing,2024-09-02_14-10-41,150,3,0.02,25,0,0.0,0.0,0.024,0.0
bl_crossing,2024-09-04_19-52-57,150,0,0.0,32,0,0.0,,0.0,
bl_crossing,2024-09-05_13-25-10,150,1,0.006666666666666667,14,0,0.0,0.0,0.007352941176470588,0.0
bl_step_crossing,2024-02-15_20-07-54,150,1,0.006666666666666667,59,0,0.0,0.0,0.01098901098901099,0.0
bl_step_crossing,2024-02-15_21-40-43,150,1,0.006666666666666667,20,0,0.0,0.0,0.007692307692307693,0.0
bl_step_crossing,2024-02-15_21-57-38,150,0,0.0,47,0,0.0,,0.0,
bl_step_crossing,2024-02-17_21-44-37,150,2,0.013333333333333334,47,1,0.02127659574468085,0.5,0.009708737864077669,1.5957446808510638
bl_step_crossing,2024-02-17_22-33-45,300,2,0.006666666666666667,82,2,0.024390243902439025,1.0,0.0,3.658536585365854
bl_step_crossing,2024-02-22_11-58-09,150,0,0.0,13,0,0.0,,0.0,
bl_step_crossing,2024-03-11_22-23-29,150,0,0.0,21,0,0.0,,0.0,
bl_step_crossing,2024-04-08_22-49-18,150,0,0.0,32,0,0.0,,0.0,
bl_step_crossing,2024-09-02_14-10-41,150,1,0.006666666666666667,25,0,0.0,0.0,0.008,0.0
bl_step_crossing,2024-09-04_19-52-57,150,0,0.0,32,0,0.0,,0.0,
bl_step_crossing,2024-09-05_13-25-10,150,0,0.0,14,0,0.0,,0.0,
bl_rate_q995,2024-02-15_20-07-54,150,0,0.0,59,0,0.0,,0.0,
bl_rate_q995,2024-02-15_21-40-43,150,0,0.0,20,0,0.0,,0.0,
bl_rate_q995,2024-02-15_21-57-38,150,0,0.0,47,0,0.0,,0.0,
bl_rate_q995,2024-02-17_21-44-37,150,1,0.006666666666666667,47,1,0.02127659574468085,1.0,0.0,3.1914893617021276
bl_rate_q995,2024-02-17_22-33-45,300,1,0.0033333333333333335,82,1,0.012195121951219513,1.0,0.0,3.658536585365854
bl_rate_q995,2024-02-22_11-58-09,150,2,0.013333333333333334,13,0,0.0,0.0,0.014598540145985401,0.0
bl_rate_q995,2024-03-11_22-23-29,150,0,0.0,21,0,0.0,,0.0,
bl_rate_q995,2024-04-08_22-49-18,150,0,0.0,32,0,0.0,,0.0,
bl_rate_q995,2024-09-02_14-10-41,150,1,0.006666666666666667,25,0,0.0,0.0,0.008,0.0
bl_rate_q995,2024-09-04_19-52-57,150,0,0.0,32,0,0.0,,0.0,
bl_rate_q995,2024-09-05_13-25-10,150,3,0.02,14,0,0.0,0.0,0.022058823529411766,0.0
bl_rate_q990,2024-02-15_20-07-54,150,1,0.006666666666666667,59,0,0.0,0.0,0.01098901098901099,0.0
bl_rate_q990,2024-02-15_21-40-43,150,0,0.0,20,0,0.0,,0.0,
bl_rate_q990,2024-02-15_21-57-38,150,0,0.0,47,0,0.0,,0.0,
bl_rate_q990,2024-02-17_21-44-37,150,1,0.006666666666666667,47,1,0.02127659574468085,1.0,0.0,3.1914893617021276
bl_rate_q990,2024-02-17_22-33-45,300,5,0.016666666666666666,82,2,0.024390243902439025,0.4,0.013761467889908258,1.4634146341463417
bl_rate_q990,2024-02-22_11-58-09,150,2,0.013333333333333334,13,0,0.0,0.0,0.014598540145985401,0.0
bl_rate_q990,2024-03-11_22-23-29,150,0,0.0,21,0,0.0,,0.0,
bl_rate_q990,2024-04-08_22-49-18,150,3,0.02,32,1,0.03125,0.3333333333333333,0.01694915254237288,1.5624999999999998
bl_rate_q990,2024-09-02_14-10-41,150,1,0.006666666666666667,25,0,0.0,0.0,0.008,0.0
bl_rate_q990,2024-09-04_19-52-57,150,0,0.0,32,0,0.0,,0.0,
bl_rate_q990,2024-09-05_13-25-10,150,4,0.02666666666666667,14,0,0.0,0.0,0.029411764705882353,0.0
bl_rate_q975,2024-02-15_20-07-54,150,2,0.013333333333333334,59,0,0.0,0.0,0.02197802197802198,0.0
bl_rate_q975,2024-02-15_21-40-43,150,1,0.006666666666666667,20,0,0.0,0.0,0.007692307692307693,0.0
bl_rate_q975,2024-02-15_21-57-38,150,0,0.0,47,0,0.0,,0.0,
bl_rate_q975,2024-02-17_21-44-37,150,1,0.006666666666666667,47,1,0.02127659574468085,1.0,0.0,3.1914893617021276
bl_rate_q975,2024-02-17_22-33-45,300,10,0.03333333333333333,82,2,0.024390243902439025,0.2,0.03669724770642202,0.7317073170731708
bl_rate_q975,2024-02-22_11-58-09,150,5,0.03333333333333333,13,0,0.0,0.0,0.0364963503649635,0.0
bl_rate_q975,2024-03-11_22-23-29,150,0,0.0,21,0,0.0,,0.0,
bl_rate_q975,2024-04-08_22-49-18,150,14,0.09333333333333334,32,2,0.0625,0.14285714285714285,0.1016949152542373,0.6696428571428571
bl_rate_q975,2024-09-02_14-10-41,150,3,0.02,25,0,0.0,0.0,0.024,0.0
bl_rate_q975,2024-09-04_19-52-57,150,1,0.006666666666666667,32,1,0.03125,1.0,0.0,4.6875
bl_rate_q975,2024-09-05_13-25-10,150,5,0.03333333333333333,14,0,0.0,0.0,0.03676470588235294,0.0
bl_hmm_disagreement,2024-02-15_20-07-54,150,74,0.49333333333333335,59,16,0.2711864406779661,0.21621621621621623,0.6373626373626373,0.549702244617499
bl_hmm_disagreement,2024-02-15_21-40-43,150,97,0.6466666666666666,20,2,0.1,0.020618556701030927,0.7307692307692307,0.15463917525773196
bl_hmm_disagreement,2024-02-15_21-57-38,150,88,0.5866666666666667,47,5,0.10638297872340426,0.056818181818181816,0.8058252427184466,0.18133462282398452
bl_hmm_disagreement,2024-02-17_21-44-37,150,82,0.5466666666666666,47,19,0.40425531914893614,0.23170731707317074,0.6116504854368932,0.7394914374675662
bl_hmm_disagreement,2024-02-17_22-33-45,300,130,0.43333333333333335,82,6,0.07317073170731707,0.046153846153846156,0.5688073394495413,0.16885553470919326
bl_hmm_disagreement,2024-02-22_11-58-09,150,117,0.78,13,7,0.5384615384615384,0.05982905982905983,0.8029197080291971,0.6903353057199211
bl_hmm_disagreement,2024-03-11_22-23-29,150,98,0.6533333333333333,21,11,0.5238095238095238,0.11224489795918367,0.6744186046511628,0.8017492711370262
bl_hmm_disagreement,2024-04-08_22-49-18,150,82,0.5466666666666666,32,15,0.46875,0.18292682926829268,0.5677966101694916,0.8574695121951219
bl_hmm_disagreement,2024-09-02_14-10-41,150,89,0.5933333333333334,25,6,0.24,0.06741573033707865,0.664,0.4044943820224719
bl_hmm_disagreement,2024-09-04_19-52-57,150,75,0.5,32,4,0.125,0.05333333333333334,0.6016949152542372,0.25
