,mandatory_missing,legacy_current_default,bl_span_practical,bl_span_comfortable,bl_span_relative,bl_crossing,bl_step_crossing,bl_rate_q995,bl_rate_q990,bl_rate_q975,bl_hmm_disagreement,bl_practical_or_rate995,bl_practical_or_crossing,bl_two_signal_strict,wl_model_agreement,wl_strict_obvious,hy_direct_plus_corroborated,hy_two_of_three_families,hy_hierarchical,ni_k2_r1,ni_k2_r2,ni_k2_r4,ni_k3_r1,ni_k3_r2,ni_k3_r4,ni_k5_r1,ni_k5_r2,ni_k5_r4,ni_w5_q995,ni_w5_q990,ni_w5_q975,ni_w9_q995,ni_w9_q990,ni_w9_q975,ni_w17_q995,ni_w17_q990,ni_w17_q975,mandatory_missing__ni_k2_r1,mandatory_missing__ni_k2_r2,mandatory_missing__ni_k2_r4,mandatory_missing__ni_k3_r1,mandatory_missing__ni_k3_r2,mandatory_missing__ni_k3_r4,mandatory_missing__ni_k5_r1,mandatory_missing__ni_k5_r2,mandatory_missing__ni_k5_r4,legacy_current_default__ni_k2_r1,legacy_current_default__ni_k2_r2,legacy_current_default__ni_k2_r4,legacy_current_default__ni_k3_r1,legacy_current_default__ni_k3_r2,legacy_current_default__ni_k3_r4,legacy_current_default__ni_k5_r1,legacy_current_default__ni_k5_r2,legacy_current_default__ni_k5_r4,bl_span_practical__ni_k2_r1,bl_span_practical__ni_k2_r2,bl_span_practical__ni_k2_r4,bl_span_practical__ni_k3_r1,bl_span_practical__ni_k3_r2,bl_span_practical__ni_k3_r4,bl_span_practical__ni_k5_r1,bl_span_practical__ni_k5_r2,bl_span_practical__ni_k5_r4,bl_span_comfortable__ni_k2_r1,bl_span_comfortable__ni_k2_r2,bl_span_comfortable__ni_k2_r4,bl_span_comfortable__ni_k3_r1,bl_span_comfortable__ni_k3_r2,bl_span_comfortable__ni_k3_r4,bl_span_comfortable__ni_k5_r1,bl_span_comfortable__ni_k5_r2,bl_span_comfortable__ni_k5_r4,bl_span_relative__ni_k2_r1,bl_span_relative__ni_k2_r2,bl_span_relative__ni_k2_r4,bl_span_relative__ni_k3_r1,bl_span_relative__ni_k3_r2,bl_span_relative__ni_k3_r4,bl_span_relative__ni_k5_r1,bl_span_relative__ni_k5_r2,bl_span_relative__ni_k5_r4,bl_crossing__ni_k2_r1,bl_crossing__ni_k2_r2,bl_crossing__ni_k2_r4,bl_crossing__ni_k3_r1,bl_crossing__ni_k3_r2,bl_crossing__ni_k3_r4,bl_crossing__ni_k5_r1,bl_crossing__ni_k5_r2,bl_crossing__ni_k5_r4,bl_step_crossing__ni_k2_r1,bl_step_crossing__ni_k2_r2,bl_step_crossing__ni_k2_r4,bl_step_crossing__ni_k3_r1,bl_step_crossing__ni_k3_r2,bl_step_crossing__ni_k3_r4,bl_step_crossing__ni_k5_r1,bl_step_crossing__ni_k5_r2,bl_step_crossing__ni_k5_r4,bl_rate_q995__ni_k2_r1,bl_rate_q995__ni_k2_r2,bl_rate_q995__ni_k2_r4,bl_rate_q995__ni_k3_r1,bl_rate_q995__ni_k3_r2,bl_rate_q995__ni_k3_r4,bl_rate_q995__ni_k5_r1,bl_rate_q995__ni_k5_r2,bl_rate_q995__ni_k5_r4,bl_rate_q990__ni_k2_r1,bl_rate_q990__ni_k2_r2,bl_rate_q990__ni_k2_r4,bl_rate_q990__ni_k3_r1,bl_rate_q990__ni_k3_r2,bl_rate_q990__ni_k3_r4,bl_rate_q990__ni_k5_r1,bl_rate_q990__ni_k5_r2,bl_rate_q990__ni_k5_r4,bl_rate_q975__ni_k2_r1,bl_rate_q975__ni_k2_r2,bl_rate_q975__ni_k2_r4,bl_rate_q975__ni_k3_r1,bl_rate_q975__ni_k3_r2,bl_rate_q975__ni_k3_r4,bl_rate_q975__ni_k5_r1,bl_rate_q975__ni_k5_r2,bl_rate_q975__ni_k5_r4,bl_hmm_disagreement__ni_k2_r1,bl_hmm_disagreement__ni_k2_r2,bl_hmm_disagreement__ni_k2_r4,bl_hmm_disagreement__ni_k3_r1,bl_hmm_disagreement__ni_k3_r2,bl_hmm_disagreement__ni_k3_r4,bl_hmm_disagreement__ni_k5_r1,bl_hmm_disagreement__ni_k5_r2,bl_hmm_disagreement__ni_k5_r4,bl_practical_or_rate995__ni_k2_r1,bl_practical_or_rate995__ni_k2_r2,bl_practical_or_rate995__ni_k2_r4,bl_practical_or_rate995__ni_k3_r1,bl_practical_or_rate995__ni_k3_r2,bl_practical_or_rate995__ni_k3_r4,bl_practical_or_rate995__ni_k5_r1,bl_practical_or_rate995__ni_k5_r2,bl_practical_or_rate995__ni_k5_r4,bl_practical_or_crossing__ni_k2_r1,bl_practical_or_crossing__ni_k2_r2,bl_practical_or_crossing__ni_k2_r4,bl_practical_or_crossing__ni_k3_r1,bl_practical_or_crossing__ni_k3_r2,bl_practical_or_crossing__ni_k3_r4,bl_practical_or_crossing__ni_k5_r1,bl_practical_or_crossing__ni_k5_r2,bl_practical_or_crossing__ni_k5_r4,bl_two_signal_strict__ni_k2_r1,bl_two_signal_strict__ni_k2_r2,bl_two_signal_strict__ni_k2_r4,bl_two_signal_strict__ni_k3_r1,bl_two_signal_strict__ni_k3_r2,bl_two_signal_strict__ni_k3_r4,bl_two_signal_strict__ni_k5_r1,bl_two_signal_strict__ni_k5_r2,bl_two_signal_strict__ni_k5_r4,wl_model_agreement__ni_k2_r1,wl_model_agreement__ni_k2_r2,wl_model_agreement__ni_k2_r4,wl_model_agreement__ni_k3_r1,wl_model_agreement__ni_k3_r2,wl_model_agreement__ni_k3_r4,wl_model_agreement__ni_k5_r1,wl_model_agreement__ni_k5_r2,wl_model_agreement__ni_k5_r4,wl_strict_obvious__ni_k2_r1,wl_strict_obvious__ni_k2_r2,wl_strict_obvious__ni_k2_r4,wl_strict_obvious__ni_k3_r1,wl_strict_obvious__ni_k3_r2,wl_strict_obvious__ni_k3_r4,wl_strict_obvious__ni_k5_r1,wl_strict_obvious__ni_k5_r2,wl_strict_obvious__ni_k5_r4,hy_direct_plus_corroborated__ni_k2_r1,hy_direct_plus_corroborated__ni_k2_r2,hy_direct_plus_corroborated__ni_k2_r4,hy_direct_plus_corroborated__ni_k3_r1,hy_direct_plus_corroborated__ni_k3_r2,hy_direct_plus_corroborated__ni_k3_r4,hy_direct_plus_corroborated__ni_k5_r1,hy_direct_plus_corroborated__ni_k5_r2,hy_direct_plus_corroborated__ni_k5_r4,hy_two_of_three_families__ni_k2_r1,hy_two_of_three_families__ni_k2_r2,hy_two_of_three_families__ni_k2_r4,hy_two_of_three_families__ni_k3_r1,hy_two_of_three_families__ni_k3_r2,hy_two_of_three_families__ni_k3_r4,hy_two_of_three_families__ni_k5_r1,hy_two_of_three_families__ni_k5_r2,hy_two_of_three_families__ni_k5_r4,hy_hierarchical__ni_k2_r1,hy_hierarchical__ni_k2_r2,hy_hierarchical__ni_k2_r4,hy_hierarchical__ni_k3_r1,hy_hierarchical__ni_k3_r2,hy_hierarchical__ni_k3_r4,hy_hierarchical__ni_k5_r1,hy_hierarchical__ni_k5_r2,hy_hierarchical__ni_k5_r4
bl_rate_q995__ni_k3_r2,0.0,10641.0,1761.0,2976.0,8608.0,510.0,144.0,4745.0,4781.0,4964.0,8607.0,6490.0,1761.0,3256.0,8607.0,13361.0,3666.0,3946.0,4275.0,6080.0,10776.0,11245.0,5397.0,10476.0,10623.0,580.0,1149.0,1304.0,447.0,447.0,2968.0,989.0,3611.0,3611.0,780.0,1628.0,2965.0,6080.0,10776.0,11245.0,5397.0,10476.0,10623.0,580.0,1149.0,1304.0,10737.0,10933.0,11386.0,10641.0,10641.0,10785.0,10641.0,10641.0,10653.0,6713.0,10790.0,11259.0,6150.0,10490.0,10637.0,2184.0,2654.0,2780.0,7423.0,11091.0,11522.0,6916.0,10822.0,10963.0,3351.0,3783.0,3899.0,11527.0,13781.0,13899.0,11213.0,13717.0,13748.0,8860.0,9152.0,9223.0,6259.0,10777.0,11246.0,5621.0,10477.0,10624.0,1041.0,1580.0,1723.0,6137.0,10776.0,11245.0,5468.0,10476.0,10623.0,713.0,1274.0,1423.0,10677.0,15115.0,15115.0,10101.0,15115.0,15115.0,5323.0,5887.0,6029.0,10696.0,15115.0,15115.0,10120.0,15115.0,15115.0,5358.0,5922.0,6063.0,10806.0,15115.0,15115.0,10234.0,15115.0,15115.0,5534.0,6083.0,6223.0,10746.0,12527.0,12802.0,10482.0,12336.0,12422.0,8805.0,9009.0,9065.0,11296.0,15115.0,15115.0,10840.0,15115.0,15115.0,6911.0,7376.0,7489.0,6713.0,10790.0,11259.0,6150.0,10490.0,10637.0,2184.0,2654.0,2780.0,8389.0,12530.0,12805.0,7846.0,12339.0,12425.0,3705.0,4205.0,4334.0,10746.0,12527.0,12802.0,10482.0,12336.0,12422.0,8805.0,9009.0,9065.0,14331.0,15115.0,15115.0,14224.0,15115.0,15115.0,13440.0,13535.0,13553.0,8553.0,12530.0,12805.0,8030.0,12339.0,12425.0,4087.0,4556.0,4676.0,8808.0,12681.0,12936.0,8298.0,12512.0,12597.0,4379.0,4858.0,4984.0,8823.0,12530.0,12805.0,8337.0,12339.0,12425.0,4664.0,5108.0,5220.0
bl_rate_q995__ni_k3_r4,0.0,11416.0,2961.0,5022.0,13150.0,816.0,239.0,4745.0,4841.0,5272.0,14497.0,7690.0,2961.0,4182.0,14497.0,20990.0,4888.0,5409.0,6078.0,6960.0,12489.0,20446.0,5397.0,10476.0,19824.0,580.0,1149.0,2247.0,470.0,470.0,3360.0,995.0,3829.0,3829.0,976.0,2276.0,4675.0,6960.0,12489.0,20446.0,5397.0,10476.0,19824.0,580.0,1149.0,2247.0,12312.0,13293.0,20587.0,11416.0,11416.0,19986.0,11416.0,11416.0,12276.0,8636.0,13428.0,20460.0,7350.0,11690.0,19838.0,3384.0,3854.0,4765.0,10118.0,14419.0,20723.0,8962.0,12868.0,20164.0,5397.0,5829.0,6655.0,16504.0,19169.0,23100.0,15755.0,18259.0,22949.0,13402.0,13694.0,14229.0,7406.0,12734.0,20447.0,5927.0,10783.0,19825.0,1347.0,1886.0,2927.0,7100.0,12566.0,20446.0,5563.0,10571.0,19824.0,808.0,1369.0,2447.0,11557.0,16828.0,24316.0,10101.0,15115.0,24316.0,5323.0,5887.0,6972.0,11633.0,16879.0,24316.0,10180.0,15175.0,24316.0,5418.0,5982.0,7062.0,11980.0,17088.0,24316.0,10542.0,15423.0,24316.0,5842.0,6391.0,7448.0,16937.0,19039.0,22003.0,16372.0,18226.0,21623.0,14695.0,14899.0,15289.0,13219.0,17753.0,24316.0,12040.0,16315.0,24316.0,8111.0,8576.0,9474.0,8636.0,13428.0,20460.0,7350.0,11690.0,19838.0,3384.0,3854.0,4765.0,10069.0,14962.0,22006.0,8772.0,13265.0,21626.0,4631.0,5131.0,6077.0,16937.0,19039.0,22003.0,16372.0,18226.0,21623.0,14695.0,14899.0,15289.0,22106.0,23039.0,24316.0,21853.0,22744.0,24316.0,21069.0,21164.0,21337.0,10498.0,15189.0,22006.0,9252.0,13561.0,21626.0,5309.0,5778.0,6681.0,10985.0,15563.0,22137.0,9761.0,13975.0,21798.0,5842.0,6321.0,7220.0,11299.0,15669.0,22006.0,10140.0,14142.0,21626.0,6467.0,6911.0,7755.0
bl_rate_q995__ni_k5_r1,0.0,849.0,173.0,563.0,3658.0,50.0,11.0,4745.0,4746.0,4753.0,2281.0,4902.0,173.0,2034.0,2281.0,5244.0,2062.0,2231.0,2094.0,726.0,984.0,1453.0,619.0,684.0,831.0,580.0,585.0,598.0,82.0,82.0,364.0,236.0,469.0,469.0,213.0,331.0,457.0,726.0,984.0,1453.0,619.0,684.0,831.0,580.0,585.0,598.0,945.0,1141.0,1594.0,849.0,849.0,993.0,849.0,849.0,861.0,740.0,998.0,1467.0,633.0,698.0,845.0,596.0,601.0,614.0,1072.0,1299.0,1730.0,972.0,1030.0,1171.0,938.0,942.0,955.0,3941.0,3989.0,4107.0,3915.0,3925.0,3956.0,3910.0,3911.0,3912.0,727.0,985.0,1454.0,620.0,685.0,832.0,581.0,586.0,599.0,726.0,984.0,1453.0,619.0,684.0,831.0,580.0,585.0,598.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,2569.0,2735.0,3010.0,2502.0,2544.0,2630.0,2479.0,2483.0,2490.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,740.0,998.0,1467.0,633.0,698.0,845.0,596.0,601.0,614.0,2572.0,2738.0,3013.0,2505.0,2547.0,2633.0,2483.0,2487.0,2494.0,2569.0,2735.0,3010.0,2502.0,2544.0,2630.0,2479.0,2483.0,2490.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,5323.0,2572.0,2738.0,3013.0,2505.0,2547.0,2633.0,2483.0,2487.0,2494.0,2747.0,2889.0,3144.0,2683.0,2720.0,2805.0,2664.0,2667.0,2674.0,2572.0,2738.0,3013.0,2505.0,2547.0,2633.0,2483.0,2487.0,2494.0
bl_rate_q995__ni_k5_r2,0.0,1413.0,272.0,699.0,3931.0,80.0,19.0,4745.0,4746.0,4768.0,2645.0,5001.0,272.0,2102.0,2645.0,5713.0,2161.0,2319.0,2218.0,851.0,1548.0,2017.0,668.0,1248.0,1395.0,580.0,1149.0,1162.0,90.0,90.0,457.0,298.0,673.0,673.0,394.0,614.0,844.0,851.0,1548.0,2017.0,668.0,1248.0,1395.0,580.0,1149.0,1162.0,1509.0,1705.0,2158.0,1413.0,1413.0,1557.0,1413.0,1413.0,1425.0,931.0,1562.0,2031.0,772.0,1262.0,1409.0,695.0,1165.0,1178.0,1294.0,1863.0,2294.0,1146.0,1594.0,1735.0,1074.0,1506.0,1519.0,4278.0,4553.0,4671.0,4217.0,4489.0,4520.0,4183.0,4475.0,4476.0,871.0,1549.0,2018.0,697.0,1249.0,1396.0,611.0,1150.0,1163.0,857.0,1548.0,2017.0,676.0,1248.0,1395.0,588.0,1149.0,1162.0,5448.0,5887.0,5887.0,5372.0,5887.0,5887.0,5323.0,5887.0,5887.0,5448.0,5887.0,5887.0,5372.0,5887.0,5887.0,5323.0,5887.0,5887.0,5462.0,5887.0,5887.0,5386.0,5887.0,5887.0,5338.0,5887.0,5887.0,2971.0,3299.0,3574.0,2883.0,3108.0,3194.0,2843.0,3047.0,3054.0,5514.0,5887.0,5887.0,5462.0,5887.0,5887.0,5422.0,5887.0,5887.0,931.0,1562.0,2031.0,772.0,1262.0,1409.0,695.0,1165.0,1178.0,2738.0,3302.0,3577.0,2616.0,3111.0,3197.0,2551.0,3051.0,3058.0,2971.0,3299.0,3574.0,2883.0,3108.0,3194.0,2843.0,3047.0,3054.0,5812.0,5887.0,5887.0,5800.0,5887.0,5887.0,5792.0,5887.0,5887.0,2763.0,3302.0,3577.0,2644.0,3111.0,3197.0,2582.0,3051.0,3058.0,2928.0,3453.0,3708.0,2813.0,3284.0,3369.0,2752.0,3231.0,3238.0,2783.0,3302.0,3577.0,2668.0,3111.0,3197.0,2607.0,3051.0,3058.0
bl_rate_q995__ni_k5_r4,0.0,1650.0,459.0,971.0,4482.0,137.0,39.0,4745.0,4751.0,4796.0,3347.0,5188.0,459.0,2248.0,3347.0,6625.0,2350.0,2512.0,2466.0,1047.0,1901.0,3102.0,734.0,1390.0,2480.0,580.0,1149.0,2247.0,102.0,102.0,569.0,336.0,806.0,806.0,564.0,936.0,1401.0,1047.0,1901.0,3102.0,734.0,1390.0,2480.0,580.0,1149.0,2247.0,1847.0,2130.0,3243.0,1650.0,1650.0,2642.0,1650.0,1650.0,2510.0,1271.0,2030.0,3116.0,1012.0,1562.0,2494.0,882.0,1352.0,2263.0,1708.0,2390.0,3379.0,1466.0,1969.0,2820.0,1346.0,1778.0,2604.0,4932.0,5276.0,5756.0,4804.0,5110.0,5605.0,4734.0,5026.0,5561.0,1110.0,1936.0,3103.0,815.0,1436.0,2481.0,668.0,1207.0,2248.0,1069.0,1912.0,3102.0,760.0,1404.0,2480.0,608.0,1169.0,2247.0,5644.0,6240.0,6972.0,5438.0,6029.0,6972.0,5323.0,5887.0,6972.0,5647.0,6243.0,6972.0,5442.0,6033.0,6972.0,5328.0,5892.0,6972.0,5683.0,6263.0,6972.0,5479.0,6055.0,6972.0,5366.0,5915.0,6972.0,3746.0,4130.0,4659.0,3611.0,3859.0,4279.0,3545.0,3749.0,4139.0,5854.0,6355.0,6972.0,5702.0,6187.0,6972.0,5609.0,6074.0,6972.0,1271.0,2030.0,3116.0,1012.0,1562.0,2494.0,882.0,1352.0,2263.0,3049.0,3750.0,4662.0,2820.0,3379.0,4282.0,2697.0,3197.0,4143.0,3746.0,4130.0,4659.0,3611.0,3859.0,4279.0,3545.0,3749.0,4139.0,6758.0,6854.0,6972.0,6722.0,6817.0,6972.0,6704.0,6799.0,6972.0,3105.0,3772.0,4662.0,2886.0,3413.0,4282.0,2771.0,3240.0,4143.0,3284.0,3938.0,4793.0,3063.0,3596.0,4454.0,2945.0,3424.0,4323.0,3176.0,3813.0,4662.0,2965.0,3464.0,4282.0,2855.0,3299.0,4143.0
bl_rate_q990__ni_k2_r1,0.0,7505.0,3481.0,5784.0,15226.0,907.0,263.0,4745.0,6351.0,6573.0,16490.0,8210.0,3481.0,5137.0,16490.0,24176.0,5966.0,6411.0,7213.0,21651.0,22003.0,22623.0,5397.0,6057.0,7141.0,580.0,710.0,922.0,785.0,785.0,8627.0,992.0,3602.0,3602.0,707.0,1527.0,3057.0,21651.0,22003.0,22623.0,5397.0,6057.0,7141.0,580.0,710.0,922.0,21936.0,22202.0,22803.0,7505.0,7505.0,8506.0,7505.0,7505.0,7621.0,21670.0,22022.0,22641.0,7870.0,8410.0,9337.0,3904.0,4001.0,4170.0,22091.0,22404.0,22974.0,9724.0,10204.0,11045.0,6159.0,6249.0,6407.0,26028.0,26092.0,26228.0,17831.0,18133.0,18606.0,15478.0,15543.0,15647.0,21653.0,22005.0,22625.0,6018.0,6633.0,7678.0,1438.0,1557.0,1755.0,21651.0,22003.0,22623.0,5587.0,6233.0,7305.0,832.0,960.0,1168.0,26248.0,26342.0,26493.0,10101.0,10696.0,11633.0,5323.0,5448.0,5647.0,27794.0,27794.0,27794.0,11690.0,12266.0,13143.0,6928.0,7053.0,7247.0,27794.0,27794.0,27794.0,11843.0,12415.0,13281.0,7143.0,7267.0,7460.0,24067.0,24289.0,24661.0,18365.0,18615.0,19037.0,16688.0,16730.0,16811.0,26253.0,26347.0,26497.0,12560.0,13035.0,13815.0,8631.0,8723.0,8879.0,21670.0,22022.0,22641.0,7870.0,8410.0,9337.0,3904.0,4001.0,4170.0,24070.0,24292.0,24664.0,9727.0,10256.0,11131.0,5586.0,5688.0,5861.0,24067.0,24289.0,24661.0,18365.0,18615.0,19037.0,16688.0,16730.0,16811.0,27794.0,27794.0,27794.0,25039.0,25146.0,25292.0,24255.0,24275.0,24309.0,24070.0,24292.0,24664.0,10330.0,10839.0,11683.0,6387.0,6483.0,6644.0,24283.0,24476.0,24823.0,10763.0,11255.0,12086.0,6844.0,6940.0,7111.0,24070.0,24292.0,24664.0,11275.0,11747.0,12541.0,7602.0,7693.0,7846.0
bl_rate_q990__ni_k2_r2,0.0,12966.0,5819.0,9728.0,24126.0,1494.0,441.0,4745.0,6351.0,7021.0,28361.0,10548.0,5819.0,6884.0,28361.0,39365.0,8304.0,9198.0,10704.0,21651.0,40529.0,41149.0,5397.0,10476.0,12387.0,580.0,1149.0,1518.0,785.0,785.0,8627.0,1094.0,5060.0,5060.0,938.0,2192.0,4711.0,21651.0,40529.0,41149.0,5397.0,10476.0,12387.0,580.0,1149.0,1518.0,27397.0,40728.0,41329.0,12966.0,12966.0,14746.0,12966.0,12966.0,13169.0,24008.0,40548.0,41167.0,10208.0,14548.0,16184.0,6242.0,6712.0,7009.0,26035.0,40930.0,41500.0,13668.0,17574.0,19042.0,10103.0,10535.0,10806.0,34928.0,44618.0,44754.0,26731.0,29235.0,30119.0,24378.0,24670.0,24843.0,22240.0,40531.0,41151.0,6605.0,11461.0,13310.0,2025.0,2564.0,2910.0,21829.0,40529.0,41149.0,5765.0,10773.0,12666.0,1010.0,1571.0,1931.0,26248.0,44868.0,45019.0,10101.0,15115.0,16879.0,5323.0,5887.0,6243.0,27794.0,46320.0,46320.0,11690.0,16685.0,18389.0,6928.0,7492.0,7843.0,28242.0,46320.0,46320.0,12291.0,17172.0,18837.0,7591.0,8140.0,8488.0,35938.0,42815.0,43187.0,30236.0,32090.0,32828.0,28559.0,28763.0,28900.0,28591.0,44873.0,45023.0,14898.0,19173.0,20662.0,10969.0,11434.0,11718.0,24008.0,40548.0,41167.0,10208.0,14548.0,16184.0,6242.0,6712.0,7009.0,25817.0,42818.0,43190.0,11474.0,15967.0,17589.0,7333.0,7833.0,8143.0,35938.0,42815.0,43187.0,30236.0,32090.0,32828.0,28559.0,28763.0,28900.0,42983.0,46320.0,46320.0,40228.0,41119.0,41414.0,39444.0,39539.0,39594.0,26408.0,42818.0,43190.0,12668.0,16977.0,18530.0,8725.0,9194.0,9483.0,27070.0,43002.0,43349.0,13550.0,17764.0,19295.0,9631.0,10110.0,10410.0,27561.0,42818.0,43190.0,14766.0,18768.0,20220.0,11093.0,11537.0,11808.0
bl_rate_q990__ni_k2_r4,0.0,15292.0,9353.0,16079.0,38989.0,2402.0,730.0,4745.0,6351.0,7785.0,48358.0,14082.0,9353.0,9522.0,48358.0,65048.0,11838.0,13582.0,16171.0,21651.0,40529.0,72373.0,5397.0,10476.0,19824.0,580.0,1149.0,2247.0,785.0,785.0,8627.0,1094.0,5060.0,5060.0,1004.0,2496.0,5927.0,21651.0,40529.0,72373.0,5397.0,10476.0,19824.0,580.0,1149.0,2247.0,29723.0,43054.0,72553.0,15292.0,15292.0,23862.0,15292.0,15292.0,16152.0,27542.0,44082.0,72391.0,13742.0,18082.0,26230.0,9776.0,10246.0,11157.0,32386.0,47281.0,72724.0,20019.0,23925.0,31221.0,16454.0,16886.0,17712.0,49791.0,59481.0,75978.0,41594.0,44098.0,48788.0,39241.0,39533.0,40068.0,23148.0,41439.0,72375.0,7513.0,12369.0,21411.0,2933.0,3472.0,4513.0,22118.0,40818.0,72373.0,6054.0,11062.0,20315.0,1299.0,1860.0,2938.0,26248.0,44868.0,76243.0,10101.0,15115.0,24316.0,5323.0,5887.0,6972.0,27794.0,46320.0,77544.0,11690.0,16685.0,25826.0,6928.0,7492.0,8572.0,29006.0,47084.0,77544.0,13055.0,17936.0,26829.0,8355.0,8904.0,9961.0,55935.0,62812.0,74411.0,50233.0,52087.0,55484.0,48556.0,48760.0,49150.0,32125.0,48407.0,76247.0,18432.0,22707.0,30708.0,14503.0,14968.0,15866.0,27542.0,44082.0,72391.0,13742.0,18082.0,26230.0,9776.0,10246.0,11157.0,28455.0,45456.0,74414.0,14112.0,18605.0,26966.0,9971.0,10471.0,11417.0,55935.0,62812.0,74411.0,50233.0,52087.0,55484.0,48556.0,48760.0,49150.0,68666.0,72003.0,77544.0,65911.0,66802.0,68374.0,65127.0,65222.0,65395.0,29942.0,46352.0,74414.0,16202.0,20511.0,28576.0,12259.0,12728.0,13631.0,31454.0,47386.0,74573.0,17934.0,22148.0,29971.0,14015.0,14494.0,15393.0,33028.0,48285.0,74414.0,20233.0,24235.0,31719.0,16560.0,17004.0,17848.0
bl_rate_q990__ni_k3_r1,0.0,5697.0,1028.0,1908.0,7286.0,289.0,73.0,4745.0,6351.0,6420.0,5998.0,5757.0,1028.0,3287.0,5998.0,10827.0,3513.0,3741.0,3815.0,5547.0,5899.0,6519.0,5397.0,5481.0,5688.0,580.0,634.0,717.0,427.0,427.0,2545.0,807.0,2272.0,2272.0,484.0,966.0,1670.0,5547.0,5899.0,6519.0,5397.0,5481.0,5688.0,580.0,634.0,717.0,5832.0,6098.0,6699.0,5697.0,5697.0,5901.0,5697.0,5697.0,5713.0,5566.0,5918.0,6537.0,5417.0,5501.0,5708.0,1451.0,1496.0,1566.0,5987.0,6300.0,6870.0,5848.0,5921.0,6116.0,2283.0,2325.0,2390.0,9924.0,9988.0,10124.0,9891.0,9905.0,9944.0,7538.0,7568.0,7605.0,5549.0,5901.0,6521.0,5400.0,5484.0,5691.0,820.0,872.0,950.0,5547.0,5899.0,6519.0,5397.0,5481.0,5688.0,642.0,696.0,777.0,10144.0,10238.0,10389.0,10101.0,10120.0,10180.0,5323.0,5372.0,5442.0,11690.0,11690.0,11690.0,11690.0,11690.0,11690.0,6928.0,6977.0,7042.0,11690.0,11690.0,11690.0,11690.0,11690.0,11690.0,6990.0,7038.0,7103.0,7963.0,8185.0,8557.0,7873.0,7926.0,8050.0,6196.0,6217.0,6252.0,10149.0,10243.0,10393.0,10107.0,10126.0,10186.0,6178.0,6218.0,6275.0,5566.0,5918.0,6537.0,5417.0,5501.0,5708.0,1451.0,1496.0,1566.0,7966.0,8188.0,8560.0,7877.0,7930.0,8054.0,3736.0,3783.0,3850.0,7963.0,8185.0,8557.0,7873.0,7926.0,8050.0,6196.0,6217.0,6252.0,11690.0,11690.0,11690.0,11690.0,11690.0,11690.0,10906.0,10914.0,10924.0,7966.0,8188.0,8560.0,7877.0,7930.0,8054.0,3934.0,3978.0,4040.0,8179.0,8372.0,8719.0,8093.0,8139.0,8259.0,4174.0,4219.0,4285.0,7966.0,8188.0,8560.0,7877.0,7930.0,8054.0,4204.0,4247.0,4305.0
bl_rate_q990__ni_k3_r2,0.0,10692.0,1767.0,3070.0,9791.0,512.0,144.0,4745.0,6351.0,6534.0,9192.0,6496.0,1767.0,3842.0,9192.0,14931.0,4252.0,4568.0,4861.0,6123.0,10894.0,11514.0,5397.0,10476.0,10683.0,580.0,1149.0,1308.0,447.0,447.0,2974.0,989.0,3613.0,3613.0,781.0,1630.0,2978.0,6123.0,10894.0,11514.0,5397.0,10476.0,10683.0,580.0,1149.0,1308.0,10827.0,11093.0,11694.0,10692.0,10692.0,10896.0,10692.0,10692.0,10708.0,6761.0,10913.0,11532.0,6156.0,10496.0,10703.0,2190.0,2660.0,2790.0,7556.0,11295.0,11865.0,7010.0,10916.0,11111.0,3445.0,3877.0,3997.0,12717.0,14983.0,15119.0,12396.0,14900.0,14939.0,10043.0,10335.0,10406.0,6303.0,10896.0,11516.0,5623.0,10479.0,10686.0,1043.0,1582.0,1729.0,6180.0,10894.0,11514.0,5468.0,10476.0,10683.0,713.0,1274.0,1427.0,10720.0,15233.0,15384.0,10101.0,15115.0,15175.0,5323.0,5887.0,6033.0,12266.0,16685.0,16685.0,11690.0,16685.0,16685.0,6928.0,7492.0,7633.0,12376.0,16685.0,16685.0,11804.0,16685.0,16685.0,7104.0,7653.0,7793.0,11354.0,13180.0,13552.0,11067.0,12921.0,13045.0,9390.0,9594.0,9652.0,11344.0,15238.0,15388.0,10846.0,15121.0,15181.0,6917.0,7382.0,7499.0,6761.0,10913.0,11532.0,6156.0,10496.0,10703.0,2190.0,2660.0,2790.0,8997.0,13183.0,13555.0,8432.0,12925.0,13049.0,4291.0,4791.0,4922.0,11354.0,13180.0,13552.0,11067.0,12921.0,13045.0,9390.0,9594.0,9652.0,15901.0,16685.0,16685.0,15794.0,16685.0,16685.0,15010.0,15105.0,15123.0,9161.0,13183.0,13555.0,8616.0,12925.0,13049.0,4673.0,5142.0,5264.0,9452.0,13367.0,13714.0,8920.0,13134.0,13254.0,5001.0,5480.0,5608.0,9431.0,13183.0,13555.0,8923.0,12925.0,13049.0,5250.0,5694.0,5808.0
