video_name,video_duration,midi_file,midi_duration,duration_diff,duration_diff_percent,duration_ratio,name_score,duration_score,total_score,match_quality
2024-09-02_12-45-12,323.7,2024-09-02_12-45-12.mid,315.9427083333333,7.757291666666674,2.3964447533724664,0.9760355524662754,100.0,97.60355524662754,100.0,perfect
2024-09-04_20-20-07,548.45,2024-09-04_20-20-07.mid,551.7416666666667,3.2916666666666288,0.5965956289930303,0.9940340437100696,100.0,99.40340437100697,100.0,perfect
2024-03-27_11-49-04,85.55,2024-03-27_11-49-04.mid,85.63541666666667,0.08541666666667425,0.0997445566232907,0.9990025544337671,100.0,99.90025544337671,100.0,perfect
2024-04-08_23-26-19,632.25,2024-04-08_23-26-19.mid,630.6947916666667,1.5552083333333258,0.2459799657308542,0.9975402003426914,100.0,99.75402003426915,100.0,perfect
2024-03-17_18-54-44,1574.95,2024-03-17_18-54-44.mid,1566.8833333333332,8.066666666666833,0.5121855720287523,0.9948781442797124,100.0,99.48781442797124,100.0,perfect
2024-09-02_19-40-55,426.3,2024-09-02_19-40-55.mid,417.759375,8.540625000000034,2.003430682617883,0.9799656931738212,100.0,97.99656931738213,100.0,perfect
2024-09-04_22-13-22,237.45,2024-09-04_22-13-22.mid,231.88020833333334,5.569791666666646,2.345669263704631,0.9765433073629537,100.0,97.65433073629536,100.0,perfect
2024-09-02_15-05-42,482.8,2024-09-02_15-05-42.mid,479.26875,3.53125,0.731410521955261,0.9926858947804474,100.0,99.26858947804475,100.0,perfect
2024-04-08_23-50-57,1075.65,2024-04-08_23-50-57.mid,1068.89375,6.756250000000136,0.6281085855064505,0.9937189141449355,100.0,99.37189141449355,100.0,perfect
2024-09-04_17-02-04,76.3,2024-09-04_17-02-04.mid,72.68541666666667,3.6145833333333286,4.737330712101348,0.9526266928789865,100.0,95.26266928789865,100.0,perfect
2024-09-04_21-44-42,236.65,2024-09-04_21-44-42.mid,233.57395833333334,3.0760416666666686,1.2998274526375104,0.9870017254736249,100.0,98.70017254736248,100.0,perfect
2024-03-13_11-54-57,1747.25,2024-03-13_11-54-57.mid,1743.6031249999999,3.6468750000001364,0.20872084704536478,0.9979127915295464,100.0,99.79127915295464,100.0,perfect
2024-03-15_22-54-26,1154.85,2024-03-15_22-54-26.mid,1155.7208333333333,0.870833333333394,0.07534979972816913,0.9992465020027184,100.0,99.92465020027184,100.0,perfect
2024-09-03_00-07-46,1608.2,2024-09-03_00-07-46.mid,1601.3125,6.8875000000000455,0.42827384653650324,0.9957172615346349,100.0,99.57172615346349,100.0,perfect
2024-09-02_14-10-41,293.1,2024-09-02_14-10-41.mid,285.915625,7.1843750000000455,2.451168543159347,0.9754883145684066,100.0,97.54883145684066,100.0,perfect
